Raman_Shift_cm-1,AFG_Expt05_SM_Avg
679.9009,0.7834485
680.8651,0.8395736
681.8293,0.583838775
682.7936,0.107555375
683.7578,-0.799642875
684.722,-1.395177325
685.6863,-0.773388825
686.6505,1.384773488
687.6147,2.6831023
688.579,2.3428668
689.5432,1.71002045
690.5074,1.041966225
691.4717,0.4822618
692.4359,0.20579015
693.4001,0.505189458
694.3644,0.931604873
695.3286,1.0822732
696.2928,0.99315255
697.2571,0.701811225
698.2213,0.230162688
699.1855,-0.390180025
700.1498,-0.57402025
701.114,-0.2926489
702.0782,0.226226775
703.0425,1.2006057
704.0067,2.422470125
704.9709,2.88652325
705.9352,1.63198625
706.8994,0.687823658
707.8636,0.6741827
708.8279,1.0989883
709.7921,1.463659025
710.7563,1.56667415
711.7206,1.4495233
712.6848,0.879581508
713.649,0.18943175
714.6133,-0.19427875
715.5775,-0.1327665
716.5417,0.228527775
717.506,0.558418375
718.4702,0.828052265
719.4344,1.10120765
720.3987,1.56845315
721.3629,1.954375625
722.3271,1.87597575
723.2914,1.160584775
724.2556,0.529572425
725.2198,0.267452175
726.1841,0.088200318
727.1483,-0.12017365
728.1125,-0.32522265
729.0768,-0.428608125
730.041,-0.421153925
731.0052,-0.31915425
731.9695,0.10707625
732.9337,0.7633041
733.8979,1.179654725
734.8622,0.912641025
735.8264,-0.046211975
736.7906,-0.686166975
737.7549,-1.136361725
738.7191,-1.238994643
739.6833,-0.6646018
740.6476,0.312708443
741.6118,0.8690826
742.576,0.477231675
743.5403,0.203842105
744.5045,0.73995287
745.4688,1.502616975
746.433,1.791579375
747.3972,1.298698975
748.3615,0.471308225
749.3257,0.197518375
750.2899,0.313817575
751.2542,0.450984875
752.2184,0.5549165
753.1826,0.685554
754.1469,0.93863175
755.1111,1.426286325
756.0753,1.508328325
757.0396,0.9328027
758.0038,0.312895275
758.968,0.029150325
759.9323,0.1134247
760.8965,0.3160446
761.8607,0.598877625
762.825,0.78344035
763.7892,0.783944725
764.7534,0.681679375
765.7177,0.608293825
766.6819,0.65326305
767.6461,0.73748235
768.6104,0.4838387
769.5746,-0.095697775
770.5388,-0.4262483
771.5031,-0.02442545
772.4673,0.84451195
773.4315,0.91065215
774.3958,-0.877911563
775.36,-1.897973525
776.3242,-1.238229275
777.2885,-0.125832475
778.2527,0.1523445
779.2169,-0.79507815
780.1812,-1.8138625
781.1454,-1.46468675
782.1096,-0.73589625
783.0739,-0.417932825
784.0381,-0.567059325
