Raman_Shift_cm-1,Norway_2-2_Avg
748.3732,18.38085833
749.3374,20.642316
750.3016,21.86348367
751.2659,21.644313
752.2301,20.67793933
753.1943,20.340917
754.1586,21.51525051
755.1228,22.47633447
756.087,22.03664533
757.0513,21.50471233
758.0155,21.57658067
758.9797,22.04894433
759.944,22.02628067
760.9082,21.99235767
761.8724,22.71715667
762.8367,24.127817
763.8009,25.78150267
764.7651,27.15954467
765.7294,27.92800067
766.6936,28.30656
767.6578,28.92098
768.6221,29.64001333
769.5863,30.43458333
770.5505,31.41261333
771.5148,32.36828333
772.479,32.60857
773.4432,32.38810333
774.4075,31.58660333
775.3717,28.59464
776.3359,25.47396667
777.3002,24.40175767
778.2644,25.941087
779.2286,27.668613
780.1929,28.270939
781.1571,28.43334833
782.1213,28.24748667
783.0856,27.86238667
784.0498,27.28819333
785.014,26.36540533
785.9783,25.08493133
786.9425,25.60012967
787.9067,28.11182667
788.871,30.10556667
789.8352,30.25305333
790.7994,28.91443667
791.7637,27.69204867
792.7279,25.73070333
793.6921,25.54348
794.6564,28.59829
795.6206,32.42627667
796.5848,34.40499667
797.5491,33.61196
798.5133,31.98878
799.4775,31.97369667
800.4418,32.86567333
801.406,33.97658
802.3702,34.94367667
803.3345,35.35021333
804.2987,34.66113667
805.2629,32.62481333
806.2272,33.02225667
807.1914,37.17539
808.1556,41.23854333
809.1199,43.38555333
810.0841,43.81763333
811.0483,43.70872333
812.0126,42.23672
812.9768,42.22926333
813.941,45.6247
814.9053,49.84029
815.8695,51.65845667
816.8337,49.86522333
817.798,47.24652667
818.7622,48.55559667
819.7264,51.98678333
820.6907,54.91849667
821.6549,56.79614333
822.6191,57.35753
823.5834,56.05189333
824.5476,52.11856
825.5118,49.29189333
826.4761,47.61983333
827.4403,47.11869333
828.4045,48.75166
829.3688,51.76767667
830.333,53.30335
831.2972,50.89875667
832.2615,47.61376
833.2257,45.8372
834.1899,44.88283
835.1542,43.85284667
836.1184,42.35381667
837.0826,40.699
838.0469,39.29537
839.0111,38.28807
839.9753,37.86508667
840.9396,37.8617
841.9038,38.05634667
842.868,38.36320667
843.8323,38.79192
844.7965,38.43546667
845.7607,38.33839667
846.725,38.14976333
847.6892,36.56745
848.6534,34.11962
849.6177,32.26065333
850.5819,31.86351
851.5461,32.30258667
852.5104,33.92363333
853.4746,36.08367333
854.4388,37.29329667
855.4031,36.99779667
856.3673,35.91609333
857.3315,35.65161
858.2958,36.40998333
859.26,37.60842333
860.2242,40.34778667
861.1885,42.21315
862.1527,40.74134333
863.1169,36.49941333
864.0812,34.76186333
865.0454,39.44199
866.0096,43.66516
866.9739,44.73926667
867.9381,44.07879
868.9023,43.19381333
869.8666,42.85670667
870.8308,43.30991
871.795,45.89422667
872.7593,49.29542
873.7235,49.73974667
874.6877,46.61421
875.652,42.48832
876.6162,40.30056667
877.5804,40.31026333
878.5447,41.13196
879.5089,44.08964
880.4731,46.13343
881.4374,45.66817333
882.4017,43.92597667
883.3659,43.24635667
884.3301,44.57296667
885.2944,45.83829
886.2586,46.08821667
887.2228,45.40073
888.1871,43.19128333
889.1513,39.87206333
890.1155,36.97343
891.0798,36.50346
892.044,38.58436667
893.0082,40.75425667
893.9725,42.62853
894.9367,44.25797667
895.9009,46.3347
896.8652,48.5024
897.8294,48.72756333
898.7936,45.32086
899.7579,43.03383
900.7221,43.32874333
901.6863,44.45108333
902.6506,45.18078667
903.6148,45.13010333
904.579,44.49995333
905.5433,43.38536
906.5075,42.40508667
907.4717,42.33929667
908.436,42.98333333
909.4002,44.05552667
