Raman.Shift,Zircon_005,Zircon_006,Zircon_007
531.6621,0.4417677849999999,2.5957289,0.267759913
532.6263,-0.025132032999999998,0.85980215,-0.200450132
533.5906,0.11698250499999996,-0.386815,-0.019881150999999986
534.5548,1.169245075,-0.4727814,1.071222194
535.519,2.599746435,0.55271597,2.497540549
536.4833,3.282034415,2.4033870000000004,3.2335289869999997
537.4475,2.494620675,4.512335625,2.09560924
538.4117,0.914846805,6.422243,-0.318272256
539.376,0.02556456000000007,7.7113175,-1.916014988
540.3402,0.12682026000000002,8.53486833,-2.2000425310000002
541.3044,1.0590019700000002,9.6929845,-1.3518625239999997
542.2687,2.22649192,12.1393675,-0.24542929600000019
543.2329,3.0259457999999997,15.252785500000002,0.3707177239999999
544.1971,3.1313323449999997,18.51754093,0.5523714000000002
545.1614,2.528784628,21.5233397,0.6160922129999999
546.1256,2.2986944850000004,22.995895649999998,1.277924102
547.0898,3.459877125,21.9043609,3.1188724980000004
548.0541,4.7601191,18.9084645,3.783626856
549.0183,5.306723175,16.552239,3.1937237869999997
549.9825,5.68611493,15.1578635,2.914366377
550.9468,5.800311494000001,12.721424,2.8556378470000006
551.911,5.334227923,8.811840499999999,2.656431184
552.8752,4.29804955,5.9225131,2.154992833
553.8395,3.7706659599999997,6.45896485,2.1173206689999997
554.8037,3.85305857,6.2342165000000005,2.4670092180000003
555.7679,3.025944325,5.3264193,2.100822811
556.7322,0.6179699100000001,4.668397499999999,0.564391024
557.6964,-2.52760795,4.51971925,-1.4882013019999998
558.6606,-4.172154975,3.8513147500000002,-2.395631834
559.6249,-3.16479833,1.8557536199999998,-1.477301847
560.5891,-0.5616726599999999,0.21021255000000005,0.147546322
561.5533,0.48921296000000014,-0.16351949999999993,1.133576889
562.5176,-0.15713275000000015,-0.006015049999999966,1.576417492
563.4818,-1.3003775649999998,-0.19418934999999998,1.5903587909999999
564.446,-1.8449246649999997,-0.5305677249999999,0.808688
565.4103,-2.02164244,-1.0285067,-0.08957162900000004
566.3745,-1.17953671,-1.69324155,-0.25421388899999997
567.3387,0.39603754799999996,-1.24938985,-0.016310118000000012
568.303,1.387236301,-0.000911499999999954,0.36649876200000003
569.2672,0.8638247299999999,1.1901125000000001,0.972801071
570.2314,-0.4972974670000001,0.7270645,1.39535011
571.1957,-1.8016558850000002,-1.327328,0.8795881720000001
572.1599,-2.7272191120000002,-2.621023,0.01117451699999994
573.1241,-3.5292634499999997,-2.5953033000000003,-0.8338202670000001
574.0884,-4.24923835,-1.5677991999999998,-1.56459078
575.0526,-4.678730900000001,-0.5954130000000001,-2.2310040819999997
576.0168,-4.292411725,-0.899133,-2.638073189
576.9811,-3.374629925,-1.0102721499999998,-2.262656402
577.9453,-2.413306665,0.29499849999999994,-1.017262683
578.9095,-1.914971505,1.44546055,0.17818888000000002
579.8738,-1.90129709,1.3946947,0.608939362
580.838,-1.7694587350000002,0.17230044999999994,0.026562670999999982
